Question acceptedAnswer Answer
DeliveryChargeSpecification ineligibleRegion Place
DeliveryChargeSpecification ineligibleRegion GeoShape
DeliveryChargeSpecification ineligibleRegion Text
Demand ineligibleRegion Place
Demand ineligibleRegion GeoShape
Demand ineligibleRegion Text
MediaObject ineligibleRegion Place
MediaObject ineligibleRegion GeoShape
MediaObject ineligibleRegion Text
Offer ineligibleRegion Place
Offer ineligibleRegion GeoShape
Offer ineligibleRegion Text
Recipe ingredients Text
SoftwareApplication installUrl URL
CourseInstance instructor Person
InteractionCounter interactionService WebSite
InteractionCounter interactionService SoftwareApplication
InteractionCounter interactionType Action
CreativeWork interactivityType Text
FinancialProduct interestRate QuantitativeValue
FinancialProduct interestRate Number
SomeProducts inventoryLevel QuantitativeValue
Demand inventoryLevel QuantitativeValue
Offer inventoryLevel QuantitativeValue
Product isAccessoryOrSparePartFor Product
CreativeWork isBasedOnUrl Product
CreativeWork isBasedOnUrl URL
CreativeWork isBasedOnUrl CreativeWork
Product isConsumableFor Product
Product isFamilyFriendly Boolean
Offer isFamilyFriendly Boolean
CreativeWork isFamilyFriendly Boolean
Order isGift Boolean
BroadcastEvent isLiveBroadcast Boolean
Product isRelatedTo Product
Product isRelatedTo Service
Service isRelatedTo Product
Service isRelatedTo Service
Product isSimilarTo Product
Product isSimilarTo Service
Service isSimilarTo Product
Service isSimilarTo Service
DeliveryTimeSettings isUnlabelledFallback Boolean
ShippingRateSettings isUnlabelledFallback Boolean
ProductModel isVariantOf ProductModel
Book isbn Text
Place isicV4 Text
Organization isicV4 Text
Person isicV4 Text
MusicRecording isrcCode Text
Dataset issn Text
CreativeWorkSeries issn Text
WebSite issn Text
Blog issn Text
PublicationIssue issueNumber Text
PublicationIssue issueNumber Integer
Permit issuedBy Organization
Certification issuedBy Organization
Ticket issuedBy Organization
Permit issuedThrough Service
MusicComposition iswcCode Text
ListItem item Thing
DataFeedItem item Thing
Product itemCondition OfferItemCondition
Demand itemCondition OfferItemCondition
Offer itemCondition OfferItemCondition
MerchantReturnPolicy itemCondition OfferItemCondition
ItemList itemListElement Thing
ItemList itemListElement Text
ItemList itemListElement ListItem
ItemList itemListOrder Text
ItemList itemListOrder ItemListOrderType
AggregateRating itemReviewed Thing
Review itemReviewed Thing
ParcelDelivery itemShipped Product
JobPosting jobLocation Place
Person jobTitle Text
Product keywords DefinedTerm
Product keywords Text
Product keywords URL
Event keywords DefinedTerm
Event keywords Text
Event keywords URL
CreativeWork keywords DefinedTerm
CreativeWork keywords Text
CreativeWork keywords URL
Place keywords DefinedTerm
Place keywords Text
Place keywords URL
Organization keywords DefinedTerm
Organization keywords Text
Organization keywords URL
Vehicle knownVehicleDamages Text
Person knows Person
RentAction landlord Organization
RentAction landlord Person
CommunicateAction language Language
WriteAction language Language
WebPage lastReviewed Date
Place latitude Text
Place latitude Number
GeoCoordinates latitude Text
GeoCoordinates latitude Number
LearningResource learningResourceType DefinedTerm
LearningResource learningResourceType Text
CreativeWork learningResourceType DefinedTerm
CreativeWork learningResourceType Text
Organization legalName Text
Organization leiCode Text
BorrowAction lender Organization
BorrowAction lender Person
QualitativeValue lesser QualitativeValue
QualitativeValue lesserOrEqual QualitativeValue
CreativeWork license URL
CreativeWork license CreativeWork
GeoShape line Text
LiveBlogPosting liveBlogUpdate BlogPosting
LoanOrCredit loanTerm QuantitativeValue
CreativeWork locationCreated Place
LodgingReservation lodgingUnitDescription Text
LodgingReservation lodgingUnitType Text
LodgingReservation lodgingUnitType QualitativeValue
Product logo ImageObject
Product logo URL
Certification logo ImageObject
Certification logo URL
Place logo ImageObject
Place logo URL
Organization logo ImageObject
Organization logo URL
Service logo ImageObject
Service logo URL
Brand logo ImageObject
Brand logo URL
Place longitude Text
Place longitude Number
GeoCoordinates longitude Text
GeoCoordinates longitude Number
WinAction loser Person
AggregateOffer lowPrice Text
AggregateOffer lowPrice Number
MusicComposition lyricist Person
MusicComposition lyrics CreativeWork
WebPage mainContentOfPage WebPageElement
Product manufacturer Organization
Place map URL
Map mapType MapCategoryType
Place maps URL
PriceSpecification maxPrice Number
QuantitativeValue maxValue Number
PropertyValueSpecification maxValue Number
PropertyValue maxValue Number
MonetaryAmount maxValue Number
Place maximumAttendeeCapacity Integer
Event maximumAttendeeCapacity Integer
Flight mealService Text
QuantitativeValueDistribution median Number
ProgramMembership members Organization
ProgramMembership members Person
Organization members Organization
Organization members Person
ProgramMembership membershipNumber Text
SoftwareApplication memoryRequirements Text
SoftwareApplication memoryRequirements URL
CreativeWork mentions Thing
FoodEstablishment menu Text
FoodEstablishment menu Menu
FoodEstablishment menu URL
MenuItem menuAddOn MenuItem
MenuItem menuAddOn MenuSection
Order merchant Organization
Order merchant Person
Message messageAttachment CreativeWork
Vehicle mileageFromOdometer QuantitativeValue
PriceSpecification minPrice Number
QuantitativeValue minValue Number
PropertyValueSpecification minValue Number
PropertyValue minValue Number
MonetaryAmount minValue Number
Invoice minimumPaymentDue PriceSpecification
Invoice minimumPaymentDue MonetaryAmount
Product model ProductModel
Product model Text
Reservation modifiedTime DateTime
Product mpn Text
Demand mpn Text
Offer mpn Text
PropertyValueSpecification multipleValues Boolean
MusicComposition musicArrangement MusicComposition
VideoGameSeries musicBy Person
VideoGameSeries musicBy MusicGroup
TVSeries musicBy Person
TVSeries musicBy MusicGroup
Movie musicBy Person
Movie musicBy MusicGroup
RadioSeries musicBy Person
RadioSeries musicBy MusicGroup
Episode musicBy Person
Episode musicBy MusicGroup
VideoObject musicBy Person
VideoObject musicBy MusicGroup
Clip musicBy Person
Clip musicBy MusicGroup
VideoGame musicBy Person
